,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
80,80,5.031198339137228,0.5,2023-10-05 08:57:57.982602,2023-10-05 09:06:48.880480,0 days 00:08:50.897878,20,kaiming,2,0.0005225458073791873,0.0001245713624255069,1,COMPLETE
81,81,4.1199865931475195,0.5568009768009768,2023-10-05 09:06:48.883929,2023-10-05 09:13:07.280766,0 days 00:06:18.396837,15,xavier,2,0.00012091776276713376,0.005015065210699529,1,COMPLETE
82,82,0.9231920924037695,0.5833333333333333,2023-10-05 09:13:07.284044,2023-10-05 09:24:15.867388,0 days 00:11:08.583344,25,kaiming,5,1.1742386920351268e-05,0.00031548643574718873,1,COMPLETE
83,83,1.1349769356607189,0.5209157509157509,2023-10-05 09:24:15.870698,2023-10-05 09:41:55.043442,0 days 00:17:39.172744,40,kaiming,2,1.7165994995213587e-05,0.0030343061368623236,1,COMPLETE
84,84,1.445872906781733,0.11666666666666665,2023-10-05 09:41:55.046577,2023-10-05 09:44:03.475145,0 days 00:02:08.428568,5,xavier,5,2.9031746159753427e-05,0.0009807645517068144,1,COMPLETE
85,85,1.1276576418429614,0.7,2023-10-05 09:44:03.477748,2023-10-05 09:56:42.109356,0 days 00:12:38.631608,30,kaiming,5,2.3908207388030162e-05,0.0005309161885858447,1,COMPLETE
86,86,0.9239517243845121,0.5,2023-10-05 09:56:42.118520,2023-10-05 10:00:37.782038,0 days 00:03:55.663518,10,kaiming,4,1.0806277773722783e-05,0.00028009181772767046,1,COMPLETE
87,87,0.7461112916469574,0.5666666666666667,2023-10-05 10:00:37.784264,2023-10-05 10:20:23.806648,0 days 00:19:46.022384,45,xavier,5,1.1935401995024835e-05,0.00036416936499233997,1,COMPLETE
88,88,5.591573293007761,0.4666666666666667,2023-10-05 10:20:23.816183,2023-10-05 10:37:53.884130,0 days 00:17:30.067947,45,kaiming,4,0.0003078905904798025,0.00034081964885732173,1,COMPLETE
89,89,2.3014567495994016,0.6166666666666667,2023-10-05 10:37:53.888345,2023-10-05 10:47:02.574335,0 days 00:09:08.685990,20,xavier,5,0.00045166579056825,0.003385092252430027,1,COMPLETE
90,90,5.516378608833885,0.545959595959596,2023-10-05 10:47:02.577025,2023-10-05 10:58:08.412963,0 days 00:11:05.835938,25,kaiming,2,0.00017908195110697078,0.00034787918884659504,1,COMPLETE
91,91,5.262455940273736,0.5142857142857142,2023-10-05 10:58:08.416546,2023-10-05 11:06:18.394063,0 days 00:08:09.977517,20,xavier,3,0.0005755204654760927,0.005266968216743098,1,COMPLETE
92,92,0.7267699986696242,0.5894269619269619,2023-10-05 11:06:18.396767,2023-10-05 11:10:43.318051,0 days 00:04:24.921284,10,kaiming,2,1.0806277773722783e-05,0.000555262574539825,1,COMPLETE
93,93,0.939945832320622,0.5233333333333333,2023-10-05 11:10:43.321034,2023-10-05 11:16:50.203510,0 days 00:06:06.882476,15,xavier,4,2.4754932835120276e-05,0.0003080938019287428,1,COMPLETE
94,94,0.9150796312306608,0.4533333333333333,2023-10-05 11:16:50.214430,2023-10-05 11:41:08.538386,0 days 00:24:18.323956,55,xavier,4,2.4754932835120276e-05,0.0002266682480824686,1,COMPLETE
95,95,2.457895854895469,0.4766666666666667,2023-10-05 11:41:08.542316,2023-10-05 11:48:08.987324,0 days 00:07:00.445008,15,kaiming,4,0.00015141969357094926,0.00024588196761306773,1,COMPLETE
96,96,1.0987851920404605,0.41083333333333333,2023-10-05 11:48:08.990440,2023-10-05 11:50:33.280927,0 days 00:02:24.290487,5,xavier,3,8.278590129938037e-05,0.007164970177154133,1,COMPLETE
97,97,0.7807064818484443,0.5833333333333334,2023-10-05 11:50:33.284451,2023-10-05 12:02:25.385333,0 days 00:11:52.100882,25,xavier,4,2.4925198299231286e-05,0.003598061691559879,1,COMPLETE
98,98,0.8841902494430542,0.6499999999999999,2023-10-05 12:02:25.388961,2023-10-05 12:26:42.669897,0 days 00:24:17.280936,45,kaiming,5,2.8634365302011944e-05,0.00013725342542279201,1,COMPLETE
99,99,2.5914574496107634,0.399155328798186,2023-10-05 12:26:42.675961,2023-10-05 12:56:42.313052,0 days 00:29:59.637091,60,xavier,3,7.563678909592054e-05,0.003370929974199209,1,COMPLETE
