id,max_level,mpp,ppm,type
43e8977b-5237-4e53-af13-7116cc7a1aa4,16,0.50,1984126.9841269844,TS1
0cd6c87b-135f-46d0-84cc-fa42bcee6cc4,16,0.50,2003606.491685033,TSC
86d32017-77b9-4326-affd-f418ca8053ba,17,0.50,2003606.491685033,TSA
f4fd03e1-0e2b-4095-aa24-f50dcddd54e5,16,0.50,1984126.9841269844,TS1
da8ab008-5d6a-4ee4-8ac2-d47fddc77bd1,16,0.49,2024291.4979757087,TSD
f8eeee4e-b516-4d80-bb6c-9fd2b456ec18,16,0.49,2024291.4979757087,TSC
e7ea1b81-e8e1-4031-9b08-c69af972f7fa,16,0.49,2024291.4979757087,TSA
945983a7-108a-4e77-941a-b65bdb6575eb,16,0.49,2024291.4979757087,TSC
61dec704-9bd3-48a9-a690-d57f60738a81,16,0.49,2024291.4979757087,TSA
7cab2474-f7b4-4bcb-b029-5b56e19c8b11,16,0.49,2029632.636492795,TSC
3efb11d8-0232-4b2e-ac14-fa7b2304ae91,16,0.50,2017349.203147065,BS7
df1ec5b2-f0ce-48e7-a5e0-a32a27bb6e15,16,0.50,2003606.491685033,TSA
9990dbf8-ac02-4c8b-a4ae-7727647dc0e0,16,0.49,2029632.636492795,TSB
0fde76e9-f40a-44c8-9556-16bc591baddb,16,0.50,2003606.491685033,TSD
32ac53aa-8b2c-4c4b-b766-e74caf4679e2,15,0.50,2014098.6908358512,TSC
0fa92924-9ebe-46f3-820b-9445a45ef2d4,16,0.50,2017349.203147065,TS1
dab1758d-d8b7-455e-99af-c7261b1221dc,16,0.50,2003606.491685033,TSD
9ee6932a-b358-436b-8e8d-8abf97cbba68,16,0.50,2003606.491685033,TSC
140d4fc6-8a0e-43e4-9abc-2beb163743f3,16,0.50,2003606.491685033,TSB
8808f303-2bea-4bab-99c5-7818df33ccb8,16,0.49,2021427.1275520518,BSB
9b50c83f-b5ca-4c95-8d5f-2760b7a0f08a,16,0.50,1984126.9841269844,TS1
b91af9cd-66bf-42d2-8aaa-41a6e47ce60a,17,0.50,2017349.203147065,TS4
a57bcc1d-c345-4b05-8177-8419a473927e,16,0.50,2014098.6908358512,TSD
094afd23-bf08-41f7-a0ce-e2c4cf1d8885,16,0.50,2017349.203147065,TSD
6dde98b6-fd1c-489a-bef7-3506fbdb6c26,16,0.50,2003606.491685033,TSC
5483d70a-dd02-44ae-ac53-7e88b2ab3022,17,0.50,2017349.203147065,TS3
e4938d5a-9b92-4114-9f5d-15eee95c1230,15,0.49,2024291.4979757087,TSB
90b71f0d-36be-4fd6-b5ec-8eddc9832c80,17,0.50,2017349.203147065,TS4
77ec0dc1-f516-4afa-b799-901a7814046a,17,0.50,2003606.491685033,TSC
c37aa046-5f8b-4a40-b43d-a81da001e23c,16,0.50,2014098.6908358512,TSA
0e4d6f9d-785c-451f-823d-a9b8537b864a,15,0.49,2029632.636492795,TS2
31ad4ca8-09b7-4fae-a46d-ba984f972fc0,16,0.50,2017349.203147065,TS4
7e1604ee-3f80-4bf6-9430-ba84b45ccc8b,16,0.50,2017349.203147065,TS1
3984bf8d-e842-46b7-a639-46b7dea4149a,17,0.50,2014098.6908358512,TSC
35e3adfd-b0bd-4000-9c86-418f31619562,16,0.50,2014098.6908358512,TSA
fa4828ba-526d-407d-8072-87ffa775fea2,17,0.50,2003606.491685033,BSA
612a7391-40d4-4ec4-adb2-f552e2381954,16,0.50,2003606.491685033,TSD
568bcf87-9647-40f4-8a45-e14c5b47d08c,16,0.50,2014098.6908358512,TSA
26da09a8-0c88-4ddb-bd8b-50d0040c7e08,16,0.50,2017349.203147065,TSC
eb4896d9-33ec-4911-9119-14d7af0cf76b,16,0.50,2017349.203147065,TS5
e3185b07-d027-49d9-b73f-93fd5b420155,16,0.50,2017349.203147065,TS4
09dc749b-b26f-4a58-aab8-e8cd4ee1b173,16,0.49,2029632.636492795,TSA
ece788f4-d42d-431a-8513-78cc8900bde6,16,0.49,2029632.636492795,TSD
923ef0f5-d662-44d3-ac3a-467170da6a1b,17,0.49,2024291.4979757087,TSA
bd95de6a-82cb-44f0-87de-0d2cf9fa6165,17,0.50,2017349.203147065,TS5
7c7fca05-2df2-41c4-9f13-ec7b0967e4ff,16,0.50,2003606.491685033,TSC
099bad95-b732-427b-bbd7-51972870ae1d,16,0.50,1984520.738241715,TS1
a977a29a-8a9b-4c33-a109-83f7958cfaf2,16,0.50,1984520.738241715,TS3
ce6082de-ceac-4813-8e90-3e3b36aed569,17,0.50,2003606.491685033,TSA
4979c7e4-50f1-4752-9adc-3f4f024da4d0,16,0.50,2014098.6908358512,TSC
8d09144e-ece2-4fec-8960-9c95caa207db,16,0.49,2029632.636492795,TSB
d0c7ea82-d761-47cf-b0a8-472f9b9d3717,16,0.50,2017349.203147065,TSA
8be4eefd-d367-4757-8ece-b581b3fac2d2,17,0.49,2029632.636492795,TSB
9e9ad117-b6b4-4e90-9ced-74b5aa480dc5,16,0.50,2017349.203147065,TSE
48463cd9-bb76-4fc8-af81-1e50a8c125c8,16,0.49,2029632.636492795,TSA
91f01e77-0630-4a2e-aedc-f89d3571a77f,16,0.50,2003606.491685033,TSD
b7980d06-0423-4f05-81b2-4244d9084c34,16,0.50,2017349.203147065,TSB
fee22c68-18fc-4742-9a43-6045eca216ce,16,0.49,2024291.4979757087,BSB
5ea56025-1bf9-4d18-b6f0-bb0c712f3ab1,16,0.49,2029632.636492795,TSC
6a3f7584-81d7-4173-bb7c-f7282b80fba7,17,0.25,3992015.968063873,BSA
2661e48d-13af-4127-a517-d9d3160ca477,16,0.49,2024291.4979757087,TSA
e6ed2501-e1cb-494f-816e-7c926af8e074,17,0.49,2029632.636492795,TS3
25907f44-2fc7-40e2-b11c-cfd888cc5813,16,0.49,2029632.636492795,TS2
